candidate_id,age,gender,education_level,university_tier,years_experience,employment_gap_months,technical_skill_score,communication_score,aptitude_test_score,coding_test_score,project_count,github_activity_score,certifications_count,expected_salary,ai_resume_score,ai_bias_score,hired
CAND_00001,37,Male,Bachelor's,Tier 2,3.6,2.0,74.7,62.9,48.6,38.7,3,52.5,2,124900,39.4,34.0,0
CAND_00002,28,Non-Binary,Bachelor's,Tier 2,7.1,0.8,91.4,83.8,82.6,72.1,8,70.1,0,113500,56.7,56.4,1
CAND_00003,24,Female,Master's,Tier 1,11.5,0.0,52.7,77.0,54.3,58.6,5,59.1,4,176900,49.6,44.6,1
CAND_00004,29,Female,Bachelor's,Tier 2,6.5,0.0,81.9,93.5,64.5,60.4,4,60.6,3,146800,51.0,48.2,1
CAND_00005,26,Male,Master's,Tier 2,4.9,0.0,61.5,73.4,51.7,43.6,3,58.2,0,154700,30.8,39.9,0
CAND_00006,25,Male,Bachelor's,Tier 3,3.1,0.0,56.2,79.5,50.2,33.4,8,49.5,1,105900,39.3,36.3,0
CAND_00007,31,Male,Master's,Tier 1,4.6,0.0,85.5,79.2,67.0,47.1,4,61.8,1,161100,54.7,61.0,1
CAND_00008,21,Female,Master's,Tier 2,0.0,3.8,58.6,84.8,55.6,39.0,6,60.5,0,71600,48.5,56.1,0
CAND_00009,21,Female,Bachelor's,Tier 3,0.0,1.7,73.3,84.3,67.3,52.3,2,58.3,0,118400,38.4,37.1,0
CAND_00010,29,Female,Bachelor's,Tier 3,4.0,4.4,61.2,82.7,56.4,27.3,0,11.5,1,179000,35.1,30.4,0
CAND_00011,28,Male,Bachelor's,Tier 3,4.4,0.4,35.0,88.6,46.0,20.0,4,40.1,3,74600,32.9,34.4,0
CAND_00012,30,Non-Binary,Master's,Tier 3,5.0,3.3,74.7,74.2,57.9,44.7,3,44.0,2,100000,42.0,41.8,0
CAND_00013,38,Female,Bachelor's,Tier 3,7.9,0.0,69.8,83.0,65.6,59.2,2,41.3,1,107500,32.1,20.3,0
CAND_00014,29,Male,Master's,Tier 2,6.2,1.0,44.4,73.4,52.8,35.8,6,69.4,2,151300,31.5,34.0,0
CAND_00015,31,Male,Bachelor's,Tier 2,4.5,1.1,58.8,81.6,48.3,40.1,5,81.7,2,118800,41.3,33.7,0
CAND_00016,24,Male,Bachelor's,Tier 1,0.1,0.2,47.7,81.4,55.7,36.7,4,64.2,1,83100,42.7,50.2,0
CAND_00017,32,Male,Bachelor's,Tier 1,5.9,2.6,85.8,88.9,77.9,59.8,3,53.1,3,170000,48.5,60.9,1
CAND_00018,26,Female,Bachelor's,Tier 2,5.0,0.0,88.3,74.6,62.4,77.2,5,49.3,4,85400,47.5,51.5,0
CAND_00019,29,Male,Master's,Tier 1,2.9,0.1,83.3,70.7,61.2,62.0,4,63.0,3,201000,46.0,54.4,0
CAND_00020,28,Male,Master's,Tier 2,5.6,0.0,83.9,66.7,59.7,58.9,2,70.6,5,159100,42.8,38.6,0
CAND_00021,34,Female,Master's,Tier 1,5.5,0.0,67.6,67.4,57.2,41.0,3,47.4,3,162400,38.2,30.1,0
CAND_00022,22,Male,Bachelor's,Tier 1,0.0,5.9,80.1,72.2,57.9,65.7,5,81.3,0,93700,43.9,48.6,0
CAND_00023,21,Male,PhD,Tier 3,13.5,0.0,67.9,79.7,65.3,23.0,6,33.3,3,135500,33.1,27.7,0
CAND_00024,27,Male,Master's,Tier 1,2.2,1.5,74.5,92.8,51.9,41.4,3,58.1,0,123800,43.0,40.8,1
CAND_00025,31,Male,PhD,Tier 3,2.1,0.0,81.4,81.6,64.6,72.8,3,60.0,6,131600,48.9,48.1,1
CAND_00026,29,Female,Bachelor's,Tier 1,2.1,1.3,89.2,91.0,70.6,45.4,2,66.0,3,130800,54.9,61.8,0
CAND_00027,35,Male,Bachelor's,Tier 3,2.1,2.7,62.5,85.7,54.6,37.4,5,54.2,1,112900,44.7,49.1,0
CAND_00028,31,Male,Bachelor's,Tier 3,3.6,2.4,48.3,87.3,55.2,39.8,2,30.2,4,69500,30.9,34.1,0
